name,grad_year,degree_program,field,role,employer,city,country,lat,lon,links,notes
# Add people you find yourself (former classmates, LinkedIn contacts, talks you attended...).
# Only 'name' is required. If you leave lat/lon blank the builder geocodes "employer, city, country".
# 'links' can hold several URLs separated by spaces. Lines starting with # are ignored.
# Example:
# Jane Doe,2016,Physics,Quantum optics,Postdoc,ETH Zurich,Zurich,Switzerland,,,https://example.com,met at APS March meeting
Ana Celia Mota,,,,Professor emerita,ETH Zurich,Zurich,Switzerland,,,https://en.wikipedia.org/wiki/Ana_Celia_Mota https://www.bi.id.ethz.ch/personensuche/personenDetail.view?pid=12FA1&lang=EN,"location fix: was United States; retired professor emerita at ETH Zurich (only at UCSD 1967-1975), per Wikipedia and ETH staff directory, 2025"
Carlos Luengo,,,,Professor (retired),Universidade Estadual de Campinas,Campinas,Brazil,,,https://www.researchgate.net/profile/Carlos-Luengo-2 https://www.gf.org/fellows/carlos-alberto-luengo/,"location fix: was United States; retired professor at UNICAMP Instituto de Fisica Gleb Wataghin, there since 1975, per ResearchGate and Guggenheim Foundation bio, 2024"
Marcelo Ciappina,2005,Physics,,Full Professor,Guangdong Technion-Israel Institute of Technology,Shantou,China,,,https://sites.gtiit.edu.cn/research/people/marcelo-fabian-ciappina/,"location fix: was Czechia; joined GTIIT (Shantou, China) in 2020, promoted to Full Professor with tenure January 2025, per GTIIT faculty page, 2025"
Geraldina Golup,2006,,,Researcher (CONICET),Centro Atomico Bariloche,San Carlos de Bariloche,Argentina,,,https://www.auger.org/archive/authors_2024_09.html https://www.conicet.gov.ar/new_scp/detalle.php?id=23199&datos_academicos=yes,"location fix: was Belgium; CONICET adjunct researcher at Centro Atomico Bariloche / Instituto Balseiro, per 2024 Pierre Auger Collaboration author list and CONICET profile, 2024"
Ana L. Gramajo,2021,,,Researcher,Qruise GmbH,Saarbruecken,Germany,,,https://schedule.aps.org/smt/2025/events/MAR-N35/8 https://www.linkedin.com/in/ana-laura-gramajo-a667ab249/,"location fix: was Guatemala (bad geocode of San Carlos de Bariloche); works at Qruise GmbH in Saarbruecken, Germany, per APS March Meeting 2025 abstract and LinkedIn, 2025"
Adriele Almeida,2018,Physics,,Postdoctoral researcher,Universidade Estadual de Campinas,Campinas,Brazil,,,https://bv.fapesp.br/pt/pesquisador/716933/adriele-aparecida-de-almeida/ https://scholar.google.com/citations?hl=pt-BR&user=4VZhPl0AAAAJ,"location fix: was Brazil (Niteroi/UFF, her undergrad); postdoc at UNICAMP Instituto de Fisica Gleb Wataghin, Campinas, per FAPESP researcher page and Google Scholar, 2024"
Eugenio Urdapilleta,2012,,,Associate Researcher (CONICET),Centro Atomico Bariloche,San Carlos de Bariloche,Argentina,,,https://pubmed.ncbi.nlm.nih.gov/40228624/ https://www.researchgate.net/profile/Eugenio-Urdapilleta,"location fix: was United States (SUNY Albany postdoc); CONICET researcher at Centro Atomico Bariloche / Instituto Balseiro, per 2025 Mathematical Biosciences paper affiliation, 2025"
Alejandro Cabrera,2003,,,Distinguished Researcher (Beatriz Galindo Senior),Universitat Politecnica de Catalunya,Barcelona,Spain,,,https://mat.upc.edu/en/news/alejandro-cabrera-distinguished-researcher-beatriz-galindo-senior-in-the-department-of-mathematics-since-2026 https://scholar.google.com/citations?user=0wFnsO0AAAAJ,"location fix: was France (old Paris 7 postdoc); full professor at UFRJ Rio de Janeiro 2011-2025, moved to UPC Barcelona as Beatriz Galindo senior researcher in 2026, per UPC Mathematics Department news, 2026"
Pablo Garcia Martinez,2007,,,Researcher (CONICET),Centro Atomico Bariloche,San Carlos de Bariloche,Argentina,,,https://orcid.org/0009-0004-9627-1055,"location fix: was United Kingdom (name-collision with Salford NHS staff); plasma physicist, CONICET researcher at Centro Atomico Bariloche since 2012 per ORCID, works ongoing 2025"
Roberto Trinchero,1979,,,Professor / Researcher,Centro Atomico Bariloche,San Carlos de Bariloche,Argentina,,,https://inspirehep.net/authors/1430998,"location fix: was Italy (name-collision with Trinchero at INFN/Univ Turin); theoretical physicist at Centro Atomico Bariloche and Instituto Balseiro, INSPIRE lists position as current, most recent paper 2025"
Ignacio Fabre,2015,Physics,,Staff Engineer,Mercado Libre,Buenos Aires,Argentina,,,https://ar.linkedin.com/in/ignaciofabre,"location fix: was Switzerland (Zurich U paper affiliation ~2020); left academia, Staff Engineer at Mercado Libre in Argentina, per LinkedIn, 2025"
Gerardo Grandi,1984,,,Senior Nuclear Engineer,Studsvik Scandpower,Idaho Falls,United States,,,https://rocketreach.co/gerardo-grandi-email_89831829,"location fix: city was 'Studsvik' (bad geocode to Sweden); Senior Nuclear Engineer at Studsvik Scandpower in Idaho Falls, ID, per RocketReach profile (Instituto Balseiro 1980-1984), 2024"
